train_no,origin_station,destination_station,station_train_code
770000D65805,重庆北,宁波,D655
5e0000D65641,宁波,重庆北,D656
5e0000D65641,宁波,重庆北,D657
770000D65805,重庆北,宁波,D658
5n0000D6710Q,福州南,深圳北,D671
6i0000D6720K,深圳北,福州南,D672
580000D6730L,厦门,深圳北,D673
6i0000D6740V,深圳北,厦门,D674
580000D67501,厦门,深圳北,D675
6i0000D67601,深圳北,厦门,D676
5n0000D67701,漳州,深圳北,D677
6i0000D67801,深圳北,漳州,D678
580000D6830F,厦门,深圳北,D683
6i0000D6840H,深圳北,厦门,D684
580000D6850B,厦门,深圳北,D685
580000D68701,厦门,深圳北,D687
6i0000D68803,深圳北,厦门,D688
5n0000D68906,厦门北,深圳北,D689
6i0000D69005,深圳北,厦门北,D690
580000D69101,厦门,深圳北,D691
6i0000D69204,深圳北,厦门,D692
240000D70100,北京,上海,D701
550000D70200,上海,北京,D702
240000D70500,北京,上海,D705
550000D70600,上海,北京,D706
240000D70901,北京南,上海,D709
550000D71000,上海,北京南,D710
240000D71103,北京,杭州,D711
560000D71201,杭州,北京,D712
240000D71501,北京南,南京,D715
540000D71600,南京,北京南,D716
240000D71702,北京,杭州,D717
560000D71800,杭州,北京,D718
770000D75102,重庆北,兰州,D751
8d0000D75201,兰州西,重庆北,D752
770000D75300,重庆北,兰州,D753
850000D75400,兰州,重庆北,D754
770000D75500,重庆北,兰州,D755
850000D75600,兰州,重庆北,D756
760000D76400,成都东,兰州,D761
850000D76200,兰州,成都东,D762
850000D76200,兰州,成都东,D763
760000D76400,成都东,兰州,D764
760000D76810,成都东,西宁,D765
760000D76810,成都东,西宁,D768
760000D95401,成都东,上海,D951
550000D95211,上海,成都东,D952
550000D95211,上海,成都东,D953
760000D95401,成都东,上海,D954
770000D95801,重庆北,上海,D955
550000D95620,上海,重庆北,D956
550000D95620,上海,重庆北,D957
770000D95801,重庆北,上海,D958
26000D160102,石家庄,济南西,D1601
26000D16030D,石家庄,济南西,D1603
4p000D160402,济南西,石家庄,D1604
4p000D160602,济南西,石家庄,D1606
26000D161104,石家庄,青岛北,D1611
49000D161202,青岛北,石家庄,D1612
26000D161504,石家庄,威海,D1615
49000D161604,威海,石家庄,D1616
26000D162106,石家庄,荣成,D1621
49000D162204,荣成,石家庄,D1622
26000D162305,石家庄,威海,D1623
49000D162402,威海,石家庄,D1624
26000D162503,石家庄,烟台,D1625
49000D162602,烟台,石家庄,D1626
27000D163402,太原南,青岛北,D1631
49000D163202,青岛北,太原南,D1632
49000D163202,青岛北,太原南,D1633
27000D163402,太原南,青岛北,D1634
27000D163815,运城北,青岛,D1635
49000D163604,青岛,运城北,D1636
49000D163604,青岛,运城北,D1637
27000D163815,运城北,青岛,D1638
27000D164603,运城北,济南西,D1643
4p000D164403,济南西,运城北,D1644
4p000D164403,济南西,运城北,D1645
27000D164603,运城北,济南西,D1646
49000D169101,青岛北,盐城北,D1691
5f000D169210,盐城北,青岛北,D1692
49000D169300,青岛北,盐城北,D1693
5f000D169400,盐城北,青岛北,D1694
5f000D169800,盐城北,威海,D1695
49000D169600,威海,盐城北,D1696
49000D169600,威海,盐城北,D1697
5f000D169800,盐城北,威海,D1698
